171117-1a,Ramp ..,Resting.discharge,DP,IST,FST,DI,50hz frequency,100hz frequency
,,,,,,,,
,for macro #:,1,,,,,,
,1,3.500962802,60.97560883,36.04807043,29.61876755,24.9275384,0,0
,2,2.23871945,71.94244385,39.47896788,30.83131778,32.46347597,0,0
,3,9.922884418,89.68609619,41.74553808,30.81162707,47.94055811,0,0
,4,9.134119519,94.78672791,47.32941055,36.77695465,47.45731736,0,0
,5,13.47007412,102.0408173,50.96343266,40.54627914,51.07738464,0,0
,0,23.90756285,111.1111145,56.40509637,45.87814431,54.70601813,0,0
,,,,,,,,
,for macro #:,2,,,,,,
,1,44.68388659,68.25938416,57.47396533,45.46807376,10.78541883,0,0
,2,46.78463177,116.279068,49.87067337,43.42032866,66.40839463,0,0
,3,42.77672615,114.2857132,53.21505148,42.30803735,61.07066172,0,0
,4,43.59403622,139.8601379,44.75781102,35.15256074,95.10232688,0,0
,5,33.12805303,108.1081085,42.67658997,36.15885946,65.43151853,0,0
,0,36.54906556,130.7189484,45.30926768,35.4215018,85.40968072,0,0
,,,,,,,,
,for macro #:,3,,,,,,
,1,27.59941438,92.16590118,41.77131319,32.53438905,50.39458799,0,0
,2,27.83118645,88.8888855,37.19455692,31.20827246,51.69432858,0,0
,3,26.28458067,85.83690643,35.44899259,29.12171405,50.38791384,0,0
,4,34.60048536,79.05138397,34.49971581,29.99335587,44.55166816,0,0
,5,36.00322023,84.74576569,38.28563738,29.43056052,46.46012831,0,0
,0,27.89575992,114.9425278,34.33841324,28.82573325,80.60411456,0,0
,,,,,,,,
,for macro #:,4,,,,,,
,1,31.32451123,80,38.45678616,29.0534566,41.54321384,0,0
,2,35.56729384,298.5074768,29.30570094,30.83168459,269.2017759,0,0
,3,36.57559722,84.03361511,40.6430948,32.63931028,43.39052031,0,0
,4,36.62388878,142.8571472,37.58704104,31.11321309,105.2701062,0,0
,5,27.20514164,112.3595505,41.37838025,32.68199449,70.98117025,0,0
,0,38.76778289,88.49557495,41.68250995,32.32960353,46.813065,0,0
,,,,,,,,
,for macro #:,5,,,,,,
,1,39.2476637,78.74015808,41.10867437,32.66386509,37.63148371,0,0
,2,39.41526798,88.8888855,40.82338376,31.6519686,48.06550174,0,0
,3,36.72770347,127.3885345,41.15454271,32.89656179,86.23399179,0,0
,4,38.83087631,90.90908813,38.6900146,38.6900146,52.21907353,0,0
,5,48.37371685,135.1351318,44.38355064,38.73863945,90.75158116,0,0
