Ramp ..,Resting.discharge,DP,IST,FST,DI,50hz frequency,100hz frequency
,,,,,,,
for macro #:,1,,,,,,
1,1.297113931,43.3839,32.09867042,23.22290373,11.28522958,6.821806425,6.821806425
2,0.598300968,49.8753,32.35484566,21.09010968,17.52045434,4.261853616,4.261853616
3,0.584575314,48.6618,32.24612857,20.92269853,16.41567143,2.170683583,2.170683583
4,0.598433316,47.9616,32.25458099,21.17781002,15.70701901,0.911689258,0.911689258
5,1.170438472,48.1928,31.52945572,21.20876713,16.66334428,1.783155906,1.783155906
0,0.598779978,42.9185,30.89244856,20.3256125,12.02605144,0.502512245,0.502512245
,,,,,,,
for macro #:,2,,,,,,
1,0.59873455,46.2963,33.46749806,21.94175721,12.82880194,1.004971631,1.004971631
2,0.492236536,51.2821,33.95442432,22.10667828,17.32767568,0.447519824,0.447519824
3,0.355725705,47.2813,33.34234812,24.45110422,13.93895188,1.510405196,1.510405196
4,0.49539529,53.1915,33.47254977,22.05962072,19.71895023,1.144204404,1.144204404
5,0.099030765,50.8906,32.69721304,21.52570625,18.19338696,8.898386904,8.898386904
0,0,50.6329,32.24817141,21.18459265,18.38472859,0.290455123,0.290455123
,,,,,,,
for macro #:,3,,,,,,
1,0.494312596,51.1509,32.07077655,23.95897228,19.08012345,0.128659923,0.128659923
2,1.05965696,54.6448,34.83617308,28.02082869,19.80862692,1.349225768,1.349225768
3,0.197487723,52.2193,37.02309469,24.54519167,15.19620531,5.57329745,5.57329745
4,0.599345569,60.9756,33.23411296,24.63875799,27.74148704,8.891567273,8.891567273
5,0.584302805,56.9801,38.83553992,25.61958342,18.14456008,8.554323279,8.554323279
0,0.190279456,56.338,38.76817697,25.75657894,17.56982303,7.514151415,7.514151415
,,,,,,,
for macro #:,4,,,,,,
1,0.698053177,60.241,40.70050759,28.5579971,19.54049241,8.795024656,8.795024656
2,0,58.309,40.20690827,30.19480811,18.10209173,9.136272579,9.136272579
3,0.599271718,60.241,44.94330588,26.64440102,15.29769412,9.441011631,9.441011631
4,1.195910715,63.8978,41.38308457,27.30001563,22.51471543,9.660180981,9.660180981
5,0.197928961,62.8931,42.40843868,28.63021549,20.48466132,9.012455112,9.012455112
0,0.395638109,65.1466,44.20053631,29.21404273,20.94606369,12.21511345,12.21511345
,,,,,,,
for macro #:,5,,,,,,
1,0.993039994,66.6667,45.71196656,26.12828252,20.95473344,8.55868779,8.55868779
2,0.398927546,64.1026,35.72894984,26.07276081,28.37365016,8.566051016,8.566051016
3,0.398958641,61.5385,40.27583802,26.39184136,21.26266198,7.225406259,7.225406259
4,0.297558853,58.651,42.81878861,26.1955467,15.83221139,3.600513332,3.600513332
5,0,65.7895,30.2837793,24.5715259,35.5057207,7.556054643,7.556054643
0,0.798927555,71.6846,42.60821123,31.52701149,29.07638877,9.10745489,9.10745489
