Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,8.077021474958975,40.61951747,28.77295281,20.0389,53.86951747,19.8276,54.36951747,19.93325,19.938867388,,4.860058125
2,8.560386602451288,245.9192652,29.54774469,20.215,259.1192652,20.0742,259.6192652,20.1446,20.109096103,,4.08526625
3,8.550901558443876,451.2194647,31.09732844,20.4263,464.4694647,20.7785,464.9694647,20.602400000000003,20.744290366363632,,3.24003875
4,8.51818874954872,656.5439143,33.10474375,21.7998,669.7439143,21.7294,670.2439143,21.7646,21.74901835111111,,2.711771563
5,8.498817437538456,861.8457946,34.02040687,22.4337,875.0457946,22.2929,875.5457946,22.363300000000002,22.342622108181818,,3.24003875
0,8.502626400471794,1067.13052,37.15479219,23.3846,1080.38052,23.3142,1080.88052,23.3494,23.327228809090908,,3.24003875
,,,,,,,,,,
for macro #:,2.0
1,8.45623807825641,1296.477773,38.17610875,24.2651,1309.727773,24.1594,1310.227773,24.21225,24.232975356999997,,3.556999063
2,8.384972570989797,1501.627956,42.64877094,26.519,1514.877956,26.2725,1515.377956,26.39575,26.35495525,,2.993514063
3,8.449189806179493,1706.910378,41.66267219,25.7794,1720.160378,25.6738,1720.660378,25.726599999999998,25.709649929999998,,1.232623438
4,8.257499123153844,1912.110271,45.99446312,27.2234,1925.360271,27.0825,1925.860271,27.15295,27.091823452,,0.528267188
5,8.355540484964099,2117.505998,48.53014563,28.4912,2130.705998,28.2095,2131.205998,28.35035,28.289072956363636,,-0.950880938
0,8.293102066605131,2322.681894,49.26971969,29.0195,2335.881894,28.9843,2336.381894,29.0019,28.99635123111111,,-1.443930313
,,,,,,,,,,
for macro #:,3.0
1,8.294123687188776,2544.340524,51.77018437,30.3578,2557.590524,29.9351,2558.090524,30.14645,30.14071022727273,,-1.12697
2,8.189410578241022,2749.620397,54.27064906,31.6256,2762.870397,31.4495,2763.370397,31.53755,31.537211603636365,,-0.669138438
3,8.103843712082048,2955.004265,54.79891625,32.2947,2968.254265,31.9426,2968.754265,32.11865,32.031121690000006,,-2.465246875
4,8.069524922541234,3160.308021,56.41893563,33.1752,3173.508021,32.9639,3174.008021,33.06955,33.056902300000004,,-2.042633125
5,8.128764173348715,3365.493921,58.95461813,34.76,3378.743921,34.5135,3379.243921,34.63675,34.65063252,,-1.091752188
0,7.990066198041024,3570.887622,58.8841825,35.253,3584.137622,34.9361,3584.637622,35.09455,35.117505179999995,,-1.056534375
,,,,,,,,,,
for macro #:,4.0
1,8.151314363333334,4742.3964,55.25674781,31.8017,4755.6464,31.5199,4756.1464,31.660800000000002,31.63792819272727,,-3.80352375
2,9.763190119198983,4947.586289,58.35591531,34.5135,4960.836289,34.2317,4961.336289,34.3726,34.406381293636365,,-0.176089063
3,9.959931495061536,5152.833027,62.19465688,37.8591,5166.083027,37.4365,5166.583027,37.647800000000004,37.60818645545454,,1.760890625
4,9.095904829030768,5358.209744,57.89808375,35.3587,5371.459744,35.0769,5371.959744,35.2178,35.20329002090909,,1.232623438
5,8.827477691035895,5563.601643,55.60892594,33.9148,5576.851643,33.8443,5577.351643,33.879549999999995,33.830355724444445,,1.162187813
0,8.99493907060309,5768.914371,59.34201406,36.4152,5782.114371,36.2743,5782.614371,36.34475,36.35839230222222,,1.162187813
,,,,,,,,,,
for macro #:,5.0
1,9.027998442548716,5997.415652,57.15850969,35.3235,6010.665652,34.76,6011.165652,35.04175,34.80940549099999,,1.54958375
2,9.122513278189748,6202.894501,60.43376625,36.697,6216.144501,36.4152,6216.644501,36.5561,36.55566690727272,,1.479148125
3,8.905960569599996,6408.115374,57.65155906,34.6543,6421.365374,34.4078,6421.865374,34.53105,34.476720801818175,,0.563485
4,8.541973990041027,6613.295126,58.35591531,34.9361,6626.545126,34.6543,6627.045126,34.7952,34.744351030000004,,0.387395938
5,8.453780547886595,6818.685001,57.93330156,34.7248,6831.885001,34.5839,6832.385001,34.65435,34.757327678888885,,0.70435625
0,8.251726644856415,7023.957223,58.91940031,35.3235,7037.157223,35.1122,7037.657223,35.21785,35.172577243333336,,0.70435625
